Stemming results for sample song,,,,,,
Nelson Auner Jan 9th,,,,,,
All Data,,,,Filtered to only show differences,,
Original Word,Porter Stem,Lancaster Stem,,Original Word,Porter Stem,Lancaster Stem
corrections,correct,correct,,,,
typist,typist,typ,,typist,typist,typ
bitches,bitch,bitch,,,,
hoes,hoe,hoe,,,,
clothes,cloth,cloth,,,,
before,befor,bef,,before,befor,bef
more,more,mor,,more,more,mor
came,came,cam,,came,came,cam
somebody,somebodi,somebody,,somebody,somebodi,somebody
before,befor,bef,,before,befor,bef
never,never,nev,,never,never,nev
hoes,hoe,hoe,,,,
magnetize,magnet,magnet,,,,
more,more,mor,,more,more,mor
nigga,nigga,nigg,,nigga,nigga,nigg
always,alway,alway,,,,
whole,whole,whol,,whole,whole,whol
nine,nine,nin,,nine,nine,nin
nigga,nigga,nigg,,nigga,nigga,nigg
that's,that',that's,,that's,that',that's
why,whi,why,,why,whi,why
all,all,al,,all,all,al
times,time,tim,,times,time,tim
done,done,don,,done,done,don
already,alreadi,already,,already,alreadi,already
there,there,ther,,there,there,ther
nigga,nigga,nigg,,nigga,nigga,nigg
done,done,don,,done,done,don
hooked,hook,hook,,,,
where,where,wher,,where,where,wher
some,some,som,,some,some,som
hoes,hoe,hoe,,,,
well,well,wel,,well,well,wel
i've,i'v,i've,,i've,i'v,i've
gone,gone,gon,,gone,gone,gon
while,while,whil,,while,while,whil
folks,folk,folk,,,,
forty,forti,forty,,forty,forti,forty
fonzarelli,fonzarelli,fonzarell,,fonzarelli,fonzarelli,fonzarell
everybody,everybodi,everybody,,everybody,everybodi,everybody
cause,caus,caus,,,,
belly,belli,bel,,belly,belli,bel
it's,it',it's,,it's,it',it's
even,even,ev,,even,even,ev
celly,celli,cel,,celly,celli,cel
hooked,hook,hook,,,,
weeples,weepl,weepl,,,,
banks,bank,bank,,,,
he's,he',he's,,he's,he',he's
one,one,on,,one,one,on
hooked,hook,hook,,,,
tiger,tiger,tig,,tiger,tiger,tig
woods,wood,wood,,,,
hole,hole,hol,,hole,hole,hol
lights,light,light,,,,
it's,it',it's,,it's,it',it's
save,save,sav,,save,save,sav
i've,i'v,i've,,i've,i'v,i've
thousands,thousand,thousand,,,,
before,befor,bef,,before,befor,bef
chorus,choru,chor,,chorus,choru,chor
all,all,al,,all,all,al
hoes,hoe,hoe,,,,
all,all,al,,all,all,al
player,player,play,,player,player,play
haters,hater,hat,,haters,hater,hat
come,come,com,,come,come,com
cleaners,cleaner,cle,,cleaners,cleaner,cle
versace,versac,versac,,,,
cape,cape,cap,,cape,cape,cap
made,made,mad,,made,made,mad
more,more,mor,,more,more,mor
investments,invest,invest,,,,
versace,versac,versac,,,,
louis,loui,lou,,louis,loui,lou
burke,burk,burk,,,,
even,even,ev,,even,even,ev
chocolate,chocol,chocol,,,,
brother,brother,broth,,brother,brother,broth
tattoed,tatto,tatto,,,,
game,game,gam,,game,game,gam
made,made,mad,,made,made,mad
call,call,cal,,call,call,cal
nigga,nigga,nigg,,nigga,nigga,nigg
it's,it',it's,,it's,it',it's
roll,roll,rol,,roll,roll,rol
20's,20',20's,,20's,20',20's
laced,lace,lac,,laced,lace,lac
presidential,presidenti,presid,,presidential,presidenti,presid
nigga,nigga,nigg,,nigga,nigga,nigg
parvayed,parvay,parvay,,,,
face,face,fac,,face,face,fac
hoes,hoe,hoe,,,,
always,alway,alway,,,,
cause,caus,caus,,,,
always,alway,alway,,,,
g's,g',g's,,g's,g',g's
fo-figure,fo-figur,fo-figure,,fo-figure,fo-figur,fo-figure
cause,caus,caus,,,,
freeze,freez,freez,,,,
tell,tell,tel,,tell,tell,tel
hoes,hoe,hoe,,,,
nigga,nigga,nigg,,nigga,nigga,nigg
tell,tell,tel,,tell,tell,tel
hoes,hoe,hoe,,,,
nigga,nigga,nigg,,nigga,nigga,nigg
save,save,sav,,save,save,sav
chorus,choru,chor,,chorus,choru,chor
repeat,repeat,rep,,repeat,repeat,rep
chorus,choru,chor,,chorus,choru,chor
till,till,til,,till,till,til
fade,fade,fad,,fade,fade,fad
